CORPORATE_IDENTIFICATION_NUMBER,Company_Name,Company_status,Company_class,Company_Category,Company_sub_category,DATE_OF_REGISTRATION,REGISTERED_STATE,AUTHORIZED_CAP,PAIDUP_CAPITAL,Industrial_Class,PRINCIPAL_BUSINESS_ACTIVITY_AS_PER_CIN,Registered_Office_Address,REGISTRAR_OF_COMPANIES,EMAIL_ADDR,Latest_Year_AR,Latest_Year_BS
L23201DL1998PLC097614,INDRAPRASTHA GAS LIMITED,Active,Public,Company limited by Shares,Non-govt company,23-12-98,Delhi,2200000000,1400001600,23201,"Manufacture of coke, refined petroleum products and nuclear fuel","IGL BHAWAN, PLOT NO.4, COMMUNITY CENTRE SECTOR-9, R. K. PURAM NEW DELHI , Unclassified DL 110022",RoC-Delhi,investors@igl.co.in,31-03-20,31-03-20
L23201DL2001PLC174076,SALASAR TECHNO ENGINEERING LIMITED,Active,Public,Company limited by Shares,Non-govt company,24-10-01,Delhi,205000000,142852640,23201,"Manufacture of coke, refined petroleum products and nuclear fuel","E-20, , South Extension I, New Delhi Delhi , South Delhi Unclassified DL 110049",RoC-Delhi,towers@salasartechno.com,31-03-20,31-03-20
L23209DL1991PLC219214,INTERLINK PETROLEUM LIMITED,Under liquidation,Public,Company limited by Shares,Non-govt company,20-08-91,Delhi,300000000,249212000,23209,"Manufacture of coke, refined petroleum products and nuclear fuel","105,1st Floor, 389-A, South Ex Plaza-1 Masjid Moth, South Extn. Part-II New Delhi , South Delhi Unclassified DL 110049",RoC-Delhi,secretarial@interlinkpetroleum.com,31-03-18,31-03-18
L24100DL1986PLC234423,JYOTIRGAMYA ENTERPRISES LIMITED,Active,Public,Company limited by Shares,Non-govt company,25-09-86,Delhi,28000000,25474000,24100,Manufacture of chemicals and chemical products,"A1-G1, Ground Floor, Dilshad Garden, Shahdara Delhi , East Delhi Unclassified DL 110095",RoC-Delhi,jyotirgamyaenterprises@gmail.com,31-03-20,31-03-20
L24119DL1981PLC040762,SHREEKANT CHEMICAL INDUSTRIES LIMITED,Active,Public,Company limited by Shares,Non-govt company,04-06-81,Delhi,2500000,2450000,24119,Manufacture of chemicals and chemical products,"SHOP NO. 2, GROUND FLOOR, 13/82, SUBHASH NAGAR, NEW DELHI , West Delhi Unclassified DL 110027",RoC-Delhi,rohit.v72@gmail.com,31-03-20,31-03-20
L24119DL1989PLC036264,BHARAT RASAYAN LIMITED,Active,Public,Company limited by Shares,Non-govt company,15-05-89,Delhi,200000000,42487000,24119,Manufacture of chemicals and chemical products,"1501VIKRAM TOWER RAJENDERA PLACE NEW DELHI , Unclassified DL 110008",RoC-Delhi,dhawan@bharatgroup.co.in,31-03-20,31-03-20
L24119DL2002PLC114026,HPC BIOSCIENCES LIMITED,Active,Public,Company limited by Shares,Non-govt company,29-01-02,Delhi,250000000,159600000,24119,Manufacture of chemicals and chemical products,"OFFICE NO. 109, FIRST FLOOR PLOT NO.22, POOJA COMPLEX, Veer Savarkar Block, Sh DELHI , East Delhi Unclassified DL 110092",RoC-Delhi,hpcbiosci@yahoo.com,31-03-19,31-03-19
L24219DL1985PLC020126,DHANUKA AGRITECH LIMITED,Active,Public,Company limited by Shares,Non-govt company,13-02-85,Delhi,290000000,95156648,24219,Manufacture of chemicals and chemical products,"82, Abhinash Mansion, 1st Floor Joshi Road, Karol Bagh New Delhi , Central Delhi Unclassified DL 110005",RoC-Delhi,investors@dhanuka.com,31-03-20,31-03-20
L24219DL2006PLC145092,SIRCA PAINTS INDIA LIMITED,Active,Public,Company limited by Shares,Non-govt company,19-01-06,Delhi,320000000,274044000,24219,Manufacture of chemicals and chemical products,"PLOT NO. 50, PHASE-2, BADLI, INDUSTRIAL AREA DELHI , North West Unclassified DL 110042",RoC-Delhi,cs@sircapaints.com,31-03-20,31-03-20
L24229DL1976PLC008352,KEWAL SOLVENT LIMITED,Not Available for eFiling,Public,Company limited by Shares,Non-govt company,04-10-76,Delhi,20000000,700,24229,Manufacture of chemicals and chemical products,"324, KARAWAL NAGAR, SHAHDARA,DELHI , Unclassified DL 000000",RoC-Delhi,NA,NA,NA
L24230DL1975PLC007908,DABUR INDIA LIMITED,Active,Public,Company limited by Shares,Non-govt company,16-09-75,Delhi,2070000000,1767425349,24230,Manufacture of chemicals and chemical products,"8/3 ASAF ALI ROAD NEW DELHI , Unclassified DL 110002",RoC-Delhi,INVESTORS@DABUR.COM,31-03-20,31-03-20
L24232DL1988PLC030958,INDRAPRASTHA MEDICAL CORPORATION LIMITED,Active,Public,Company limited by Shares,Non-govt company,16-03-88,Delhi,1000000000,916730000,24232,Manufacture of chemicals and chemical products,"SARITA VIHAR MATHURA ROAD NEW DELHI , Unclassified DL 110076",RoC-Delhi,imclshares@apollohospitalsdelhi.com,31-03-20,31-03-20
L24232DL1992PLC227186,SURYA PHARMACEUTICAL LIMITED,Active,Public,Company limited by Shares,Non-govt company,25-03-92,Delhi,1000000000,202752380,24232,Manufacture of chemicals and chemical products,"1596 , 1ST FLOOR BHAGIRATH PALACE , CHANDNI CHOWNK DELHI , Unclassified DL 110006",RoC-Delhi,secretarial@suryapharma.com,31-03-14,31-03-12
L24232DL1996PLC227773,WELCURE DRUGS AND PHARMACEUTICALS LTD. (TRANSFER FROM DELHI),Active,Public,Company limited by Shares,Non-govt company,06-08-96,Delhi,160000000,121185575,24232,Manufacture of chemicals and chemical products,"B-9& 10, Laxmi Towers LSC, C-Block, Saraswati Vihar Delhi , Unclassified DL 110034",RoC-Delhi,investor.welcure@gmail.com,31-03-20,31-03-20
L24233DL1994PLC290133,SAFAL HERBS LIMITED,Active,Public,Company limited by Shares,Non-govt company,27-09-94,Delhi,110000000,100000000,24233,Manufacture of chemicals and chemical products,"A-66, 2ND FLOOR, GURU NANAK PURA, VIKAS MARG, LAXMI NAGAR, DELHI , East Delhi Unclassified DL 110092",RoC-Delhi,parikhherbals@gmail.com,31-03-18,31-03-19
L24233DL2011PLC282949,RAM MINERALS AND CHEMICALS LIMITED,Active,Public,Company limited by Shares,Non-govt company,02-03-11,Delhi,206000000,205790100,24233,Manufacture of chemicals and chemical products,"1514-1515, Kucha Seth, Dariba Kalan, Chandni Chowk, Delhi-110006 Delhi , Central Delhi Unclassified DL 110006",RoC-Delhi,icvlchemicals@gmail.com,31-03-17,31-03-19
L24239DL1986PLC025187,ANMOL DRUGS AND PHARMACEUTICALS LIMITED,Active,Public,Company limited by Shares,Non-govt company,21-08-86,Delhi,75000000,66617000,24239,Manufacture of chemicals and chemical products,"1496, RAM GALI BHAGIRATHPALACE, CHANDNI CHOWK. DELHI , Central Delhi Unclassified DL 110006",RoC-Delhi,rajat.jain2007@rediffmail.com,31-03-20,31-03-20
L24239DL1988PLC031972,NOIDA MEDICARE CENTRE LIMITED,Active,Public,Company limited by Shares,Non-govt company,07-06-88,Delhi,250000000,144585000,24239,Manufacture of chemicals and chemical products,"E-485, 2ND FLOOR,NEAR OLD POLICE STATION OPPOSITE PUNIT APARTMENT,NEW ASHOK NAGAR DELHI , East Delhi Unclassified DL 110096",RoC-Delhi,nmc@nmc.co.in,31-03-19,31-03-19
L24302DL1973PLC189662,SUNIL HEALTHCARE LIMITED,Active,Public,Company limited by Shares,Non-govt company,05-02-73,Delhi,170000000,160797500,24302,Manufacture of chemicals and chemical products,"38E/252A, VIJAY TOWER SHAHPURJAT NEW DELHI , Unclassified DL 110049",RoC-Delhi,cs@sunilhealthcare.com,31-03-20,31-03-20
L25111DL1964PLC004235,JAIN TUBE COMPANY LIMITED,Active,Public,Company limited by Shares,Non-govt company,01-08-64,Delhi,100000000,17935000,25111,Manufacture of rubber and plastics products,"B- 292, OFFICE No. 303, Third Floor, Chandra Kanta Complex, New Ashok Nagar New Delhi , East Delhi Unclassified DL 110096",RoC-Delhi,jaintubes.india@gmail.com,31-03-20,31-03-20
L25111DL1995PLC073719,VIKAS MULTICORP LIMITED,Active,Public,Company limited by Shares,Non-govt company,09-11-95,Delhi,670000000,663495495,25111,Manufacture of rubber and plastics products,"G-1 34/1, East Punjabi Bagh New Delhi , West Delhi Unclassified DL 110026",RoC-Delhi,cs@vikasmulticorp.com,31-03-20,31-03-20
L25199DL1980PLC010173,COSCO (INDIA) LIMITED,Active,Public,Company limited by Shares,Non-govt company,25-01-80,Delhi,100000000,41610000,25199,Manufacture of rubber and plastics products,"2/8, ROOP NAGAR DELHI , Unclassified DL 110007",RoC-Delhi,mail@cosco.in,31-03-20,31-03-20
L25202DL1990PLC039395,PADMINI TECHNOLOGIES LIMITED.,Active,Public,Company limited by Shares,Non-govt company,02-03-90,Delhi,3000000000,515622470,25202,Manufacture of rubber and plastics products,"101-C, IST FLOOR, KUNDAN NIWAS, HARI NAGAR ASHRAM NEW DELHI , Unclassified DL 110014",RoC-Delhi,padminitechnologies@gmail.com,31-03-20,31-03-20
